"Business name","Referral code","Referral link"
"Haven Mobility","haven-mobility","/join?ref=haven-mobility"
"JMG Roofing (South Wales) Ltd","jmg-roofing-ltd","/join?ref=jmg-roofing-ltd"
"Beijing House","beijing-house","/join?ref=beijing-house"
"Dead Car Salvage","dead-car-salvage","/join?ref=dead-car-salvage"
"Torfaen Salvage","torfaen-salvage","/join?ref=torfaen-salvage"
"Ivanhoe Haulage","ivanhoe-haulage","/join?ref=ivanhoe-haulage"
"Cwmbran Digital Television Services","cwmbran-digital-television-services","/join?ref=cwmbran-digital-television-services"
"T's Traditional Barbers","t-s-traditional-barbers","/join?ref=t-s-traditional-barbers"
"Maria's Flowers","maria-s-flowers","/join?ref=maria-s-flowers"
"Andrews Jewellers","andrews-jewellers","/join?ref=andrews-jewellers"
"Jock The Lock","jock-the-lock","/join?ref=jock-the-lock"
"Mosswood Industrial Supplies","mosswood-industrial-supplies","/join?ref=mosswood-industrial-supplies"
"MG Carpets & Rugs","mg-carpets-and-rugs","/join?ref=mg-carpets-and-rugs"
"Iris Blue Celebrancy","iris-blue-celebrancy","/join?ref=iris-blue-celebrancy"
"Springvale MOT Centre, Cwmbran","springvale-mot-centre-cwmbran","/join?ref=springvale-mot-centre-cwmbran"
"Groves Gas","groves-gas","/join?ref=groves-gas"
"Gazlocks Locksmiths","gazlocks-locksmiths","/join?ref=gazlocks-locksmiths"
"Philip Retter Car Sales","phil-retter-car-sales","/join?ref=phil-retter-car-sales"
"Red Hat Printing & Embroidery","red-hat-printing-and-embroidery","/join?ref=red-hat-printing-and-embroidery"
"Murray's Minibus Hire","murray-s-minibus-hire","/join?ref=murray-s-minibus-hire"
"Pure Vans Ltd","pure-vans-ltd","/join?ref=pure-vans-ltd"
"Frets Guitars","frets-guitars","/join?ref=frets-guitars"
"Goytre Car Company","goytre-car-company","/join?ref=goytre-car-company"
"Cwmbran Curtains & Blinds","cwmbran-curtains-and-blinds","/join?ref=cwmbran-curtains-and-blinds"
"B Active Sports Massage & Therapy","b-active-sports-massage-and-therapy","/join?ref=b-active-sports-massage-and-therapy"
"The Little Computer Shop","the-little-computer-shop","/join?ref=the-little-computer-shop"
"Happier Feet","happier-feet","/join?ref=happier-feet"
"One2One Estate Agents Ltd","one2one-estate-agents-ltd","/join?ref=one2one-estate-agents-ltd"
"Windsor Wedding Car Hire","windsor-wedding-car-hire","/join?ref=windsor-wedding-car-hire"
"Beds Direct","beds-direct","/join?ref=beds-direct"
"Cwmbran Door Centre","cwmbran-door-centre","/join?ref=cwmbran-door-centre"
"E.R Simms Garage Doors","e-r-simms-garage-doors","/join?ref=e-r-simms-garage-doors"
"Showroom Shine Valeting & Detailing","showroom-shine-valeting-and-detailing","/join?ref=showroom-shine-valeting-and-detailing"
"Man Cave & Boyzone","man-cave-and-boyzone","/join?ref=man-cave-and-boyzone"
"Bryan Watkins & Son Handyman Ltd","bryan-watkins-and-son-handyman-ltd","/join?ref=bryan-watkins-and-son-handyman-ltd"
"Cwmbran Carpet Centre","cwmbran-carpet-centre","/join?ref=cwmbran-carpet-centre"
"Caerleon Carpets & Flooring","caerleon-carpets","/join?ref=caerleon-carpets"
"Car Body Work Specialists Ltd","car-body-work-specialists-ltd","/join?ref=car-body-work-specialists-ltd"
"South Wales Barbeques","south-wales-barbeques","/join?ref=south-wales-barbeques"
"Station Garage, Usk","station-garage-usk","/join?ref=station-garage-usk"
"Additions Accountancy","additions-accountancy","/join?ref=additions-accountancy"
"GT Carpentry & Joinery","gt-carpentry-and-joinery","/join?ref=gt-carpentry-and-joinery"
"Cwmbran Timber & DIY Supplies","cwmbran-timber-and-diy-supplies","/join?ref=cwmbran-timber-and-diy-supplies"
